Previous_Attendance,Timetable,Semester,Holidays,Internal_Exams,Attendance
65.0,30.0,5.0,10.0,2.0,56
82.0,27.0,1.0,3.0,3.0,73
80.0,34.0,6.0,9.0,1.0,75
96.0,37.0,3.0,2.0,5.0,97
61.0,29.0,4.0,7.0,3.0,58
57.0,30.0,7.0,12.0,5.0,58
52.0,31.0,8.0,6.0,5.0,63
53.0,28.0,1.0,2.0,4.0,57
95.0,40.0,1.0,3.0,1.0,84
50.0,33.0,4.0,5.0,4.0,54
80.0,36.0,4.0,3.0,3.0,80
70.0,38.0,5.0,12.0,3.0,69
63.0,31.0,7.0,9.0,4.0,57
92.0,39.0,5.0,6.0,4.0,80
81.0,30.0,8.0,6.0,2.0,70
87.0,35.0,8.0,9.0,1.0,75
86.0,35.0,4.0,12.0,3.0,73
77.0,40.0,6.0,6.0,1.0,74
97.0,35.0,1.0,2.0,2.0,93
58.0,33.0,2.0,12.0,3.0,57
60.0,34.0,6.0,11.0,4.0,57
60.0,35.0,4.0,12.0,1.0,54
83.0,37.0,8.0,5.0,2.0,82
87.0,40.0,4.0,6.0,2.0,86
52.0,29.0,3.0,6.0,4.0,54
72.0,34.0,4.0,9.0,5.0,70
50.0,26.0,5.0,2.0,2.0,53
85.0,25.0,5.0,8.0,4.0,75
98.0,31.0,1.0,10.0,1.0,83
50.0,27.0,3.0,3.0,3.0,56
98.0,26.0,8.0,12.0,2.0,84
84.0,38.0,7.0,10.0,3.0,84
84.0,27.0,5.0,9.0,4.0,76
73.0,39.0,2.0,4.0,4.0,72
62.0,31.0,5.0,9.0,2.0,56
70.0,38.0,3.0,8.0,3.0,67
94.0,34.0,7.0,12.0,4.0,87
87.0,31.0,8.0,6.0,3.0,77
71.0,40.0,4.0,7.0,3.0,69
94.0,33.0,8.0,8.0,4.0,87
89.0,39.0,7.0,8.0,3.0,77
62.0,32.0,6.0,8.0,5.0,65
81.0,26.0,2.0,11.0,3.0,74
95.0,35.0,4.0,9.0,5.0,85
74.0,30.0,1.0,5.0,2.0,69
76.0,40.0,7.0,4.0,4.0,73
95.0,39.0,1.0,10.0,3.0,85
87.0,29.0,8.0,2.0,5.0,87
86.0,31.0,8.0,3.0,3.0,87
75.0,38.0,2.0,5.0,3.0,70
96.0,24.0,5.0,9.0,1.0,80
91.0,37.0,8.0,2.0,3.0,86
75.0,34.0,4.0,9.0,4.0,72
72.0,38.0,8.0,11.0,1.0,68
53.0,26.0,7.0,11.0,5.0,53
53.0,38.0,5.0,12.0,3.0,55
67.0,36.0,7.0,3.0,3.0,64
74.0,25.0,2.0,10.0,3.0,64
84.0,27.0,5.0,7.0,1.0,75
96.0,38.0,6.0,8.0,3.0,82
88.0,32.0,3.0,3.0,3.0,87
93.0,37.0,1.0,9.0,2.0,86
59.0,37.0,7.0,7.0,4.0,59
84.0,39.0,8.0,3.0,5.0,87
90.0,40.0,7.0,6.0,4.0,93
56.0,31.0,6.0,7.0,2.0,55
67.0,25.0,6.0,4.0,5.0,65
78.0,27.0,5.0,6.0,4.0,72
97.0,33.0,6.0,10.0,3.0,80
91.0,38.0,4.0,3.0,1.0,87
91.0,40.0,2.0,10.0,5.0,90
75.0,40.0,6.0,12.0,1.0,64
52.0,36.0,4.0,5.0,2.0,58
52.0,29.0,5.0,12.0,2.0,47
84.0,30.0,5.0,6.0,4.0,79
65.0,37.0,7.0,5.0,3.0,62
93.0,33.0,6.0,6.0,4.0,84
79.0,24.0,7.0,2.0,4.0,74
57.0,27.0,3.0,5.0,5.0,64
98.0,27.0,6.0,2.0,2.0,84
59.0,29.0,8.0,6.0,1.0,53
55.0,35.0,1.0,12.0,1.0,53
87.0,37.0,8.0,3.0,1.0,84
59.0,25.0,5.0,6.0,3.0,54
95.0,40.0,3.0,10.0,4.0,90
71.0,24.0,7.0,4.0,4.0,68
51.0,40.0,5.0,10.0,2.0,51
53.0,25.0,2.0,7.0,4.0,48
61.0,38.0,4.0,11.0,5.0,62
89.0,31.0,7.0,9.0,1.0,83
81.0,30.0,8.0,8.0,1.0,70
86.0,39.0,7.0,3.0,1.0,83
69.0,37.0,1.0,11.0,4.0,76
94.0,26.0,2.0,6.0,5.0,88
62.0,37.0,7.0,5.0,3.0,68
71.0,27.0,7.0,4.0,3.0,63
51.0,36.0,2.0,5.0,5.0,58
87.0,32.0,7.0,7.0,4.0,86
97.0,37.0,4.0,8.0,5.0,91
63.0,38.0,7.0,7.0,3.0,65
95.0,27.0,1.0,3.0,5.0,90
66.0,34.0,3.0,9.0,2.0,66
92.0,33.0,5.0,4.0,4.0,86
82.0,40.0,1.0,9.0,5.0,83
90.0,30.0,3.0,10.0,1.0,74
96.0,29.0,5.0,11.0,2.0,81
51.0,27.0,2.0,4.0,5.0,60
73.0,27.0,5.0,2.0,5.0,74
95.0,33.0,7.0,7.0,5.0,93
53.0,27.0,5.0,12.0,5.0,47
61.0,33.0,2.0,6.0,2.0,62
52.0,31.0,7.0,2.0,4.0,60
77.0,36.0,3.0,12.0,1.0,63
95.0,31.0,7.0,5.0,3.0,90
63.0,24.0,7.0,11.0,5.0,54
72.0,28.0,4.0,7.0,1.0,66
71.0,37.0,1.0,7.0,2.0,69
55.0,24.0,5.0,6.0,2.0,56
82.0,32.0,3.0,5.0,5.0,86
78.0,35.0,3.0,3.0,2.0,70
75.0,38.0,6.0,8.0,3.0,68
74.0,31.0,7.0,11.0,5.0,63
53.0,35.0,3.0,10.0,1.0,50
75.0,39.0,1.0,10.0,4.0,71
72.0,38.0,2.0,7.0,4.0,72
73.0,40.0,4.0,4.0,1.0,68
96.0,40.0,3.0,11.0,4.0,95
56.0,37.0,8.0,9.0,1.0,53
85.0,29.0,8.0,10.0,1.0,73
84.0,39.0,4.0,7.0,5.0,88
61.0,34.0,2.0,7.0,4.0,56
61.0,26.0,1.0,5.0,3.0,54
96.0,25.0,1.0,4.0,3.0,89
62.0,28.0,2.0,5.0,5.0,60
65.0,27.0,6.0,11.0,4.0,55
93.0,32.0,5.0,3.0,3.0,86
63.0,25.0,7.0,5.0,4.0,66
77.0,35.0,7.0,12.0,1.0,67
74.0,27.0,2.0,12.0,3.0,67
86.0,37.0,5.0,7.0,4.0,85
50.0,31.0,5.0,10.0,5.0,54
63.0,25.0,7.0,3.0,3.0,63
85.0,34.0,3.0,7.0,2.0,78
77.0,33.0,3.0,2.0,5.0,80
64.0,27.0,7.0,10.0,1.0,49
