Previous_Attendance,Timetable,Semester,Holidays,Internal_Exams,Attendance
66,32,2,3,2,70
83,40,7,5,1,82
75,34,4,9,4,72
97,24,2,4,1,81
81,25,7,10,2,67
57,30,3,3,5,56
70,30,5,8,3,62
98,26,2,7,5,86
63,29,2,11,3,56
63,27,1,9,2,58
56,37,1,4,3,61
93,36,7,12,2,78
69,25,6,11,2,54
96,31,3,6,4,87
54,39,6,8,3,53
96,25,1,4,3,89
92,30,1,6,5,83
70,31,3,2,5,64
75,28,3,8,3,68
67,40,8,7,3,68
55,36,3,2,5,65
59,29,8,4,3,53
96,27,6,11,4,76
56,29,2,9,1,50
58,32,8,9,5,57
55,30,2,10,4,59
93,27,3,10,4,77
82,38,7,3,2,78
98,25,7,12,2,76
53,27,4,7,2,53
81,36,6,2,1,75
67,38,8,11,2,68
64,40,1,4,4,68
80,29,5,3,5,79
95,32,3,7,3,89
82,36,7,5,5,81
76,38,8,12,4,69
72,26,5,2,5,68
87,34,8,5,1,79
91,34,4,3,3,87
90,29,5,4,4,81
78,26,4,5,3,76
80,26,8,2,2,68
54,26,4,10,2,54
85,34,5,6,2,72
69,39,1,4,5,79
51,30,8,5,3,46
82,39,5,7,4,83
64,34,7,2,4,68
66,35,8,6,2,65
53,28,6,6,1,43
77,40,6,6,1,74
50,39,6,8,4,54
80,37,3,4,3,85
73,25,1,6,5,72
79,38,4,11,3,78
59,28,3,6,1,51
60,26,7,5,3,55
95,34,6,2,3,90
98,37,6,2,5,93
55,30,1,11,1,49
56,40,3,3,3,66
65,26,3,4,3,63
87,31,7,11,2,75
51,36,8,10,4,49
88,26,7,8,4,75
91,30,3,4,3,81
84,37,5,9,3,79
81,39,3,10,2,72
89,37,6,9,4,85
92,33,7,5,4,90
81,30,8,6,2,70
50,28,8,9,2,49
72,37,6,8,4,74
75,25,5,11,5,70
54,35,4,7,4,52
75,26,5,7,5,71
55,24,3,9,4,57
94,39,2,3,1,94
89,25,5,3,3,83
85,37,1,9,3,81
87,28,8,11,4,77
90,34,6,4,2,82
83,30,4,12,3,70
60,37,8,9,4,60
93,35,7,5,4,85
60,37,4,3,5,66
51,24,7,12,3,46
73,38,8,6,3,73
52,37,7,10,2,53
71,40,1,9,3,75
51,34,7,2,2,56
89,40,1,5,2,86
57,36,3,11,4,60
82,36,2,6,2,79
59,26,3,12,5,55
73,30,3,8,2,59
52,31,5,8,5,50
79,31,8,7,2,71
95,37,8,8,1,85
91,37,5,10,3,82
51,35,2,8,3,54
67,38,2,8,4,68
75,28,2,6,3,68
96,24,6,6,1,77
74,40,3,9,3,75
64,36,6,10,2,57
64,35,8,5,3,61
